,Date,Model,Duration,PromoAmt,Forecast,Adj_Forecast,Adj_ForecastCY,Adj_ForecastNCY,Profit_Promo,Profit_NoPromo,incremental_Retail,PromoCost,incremental_Profit,Profitability,Retail,Retail_var1,Retail_var
0,2017-12-31,OUTLANDER 1000,9,750,412,501.56000000000006,393.2900000000001,108.27,1871498.53,1520493.34,89.56000000000006,376170.0,-25164.810000000056,27393018.040000003,7766.56,1.0116660153705874,0.011666015370587477
0,2017-12-31,OUTLANDER 1000,10,750,473,575.7400000000001,451.1300000000001,124.61,2147968.01,1745313.37,102.74000000000012,431805.0,-29150.360000000335,27389032.490000002,7779.74,1.0133828318353524,0.013382831835352367
0,2017-12-31,OUTLANDER 1000,11,750,533,649.9600000000002,514.1100000000001,135.85,2429624.12,1971119.45,116.96000000000015,487470.0,-28965.32999999984,27389217.520000003,7793.96,1.0152351178845904,0.015235117884590354
0,2017-12-31,OUTLANDER 1000,12,750,617,754.2300000000001,604.0800000000002,150.15,2826786.44,2288628.4299999997,137.23000000000013,565672.5,-27514.489999999758,27390668.360000003,7814.2300000000005,1.0178754721896575,0.017875472189657435
0,2017-12-31,OUTLANDER 1000,13,750,740,908.3500000000001,742.8800000000001,165.47,3419561.9200000004,2758975.6,168.35000000000014,681262.5,-20676.179999999702,27397506.67,7845.35,1.0219291389865834,0.02192913898658332
0,2017-12-31,OUTLANDER 1000,14,750,808,993.6300000000001,819.9900000000001,173.64,3747868.18,3019293.52,185.6300000000001,745222.5,-16647.83999999985,27401535.01,7862.63,1.0241800182362901,0.02418001823629023
0,2017-12-31,OUTLANDER 1000,15,750,889,1095.0900000000001,911.2400000000001,183.85,4137980.22,3328914.08,206.09000000000015,821317.5,-12251.35999999987,27405931.490000002,7883.09,1.0268451217923669,0.026845121792366828
0,2017-12-31,OUTLANDER 1000,1,1000,22,26.849999999999998,16.56,10.29,95755.58,76912.11,4.849999999999998,26850.0,-8006.529999999999,27410176.32,7681.85,1.0006317571968217,0.0006317571968216749
0,2017-12-31,OUTLANDER 1000,2,1000,59,73.69999999999999,51.06999999999999,22.63,268373.98,211015.29,14.699999999999989,73700.0,-16341.310000000027,27401841.540000003,7691.7,1.001914810472841,0.001914810472840952
0,2017-12-31,OUTLANDER 1000,3,1000,91,113.99999999999999,80.05999999999999,33.94,416173.42000000004,326383.45999999996,22.999999999999986,114000.0,-24210.03999999992,27393972.810000002,7700.0,1.002995961964309,0.002995961964308973
